CRIM,ZN,INDUS,LSTAT,NOX,RM,DIS,RAD,TAX
11.1604,0,18.1,23.27,0.74,6.629,2.1247,24,666
14.4208,0,18.1,18.05,0.74,6.461,2.0026,24,666
15.1772,0,18.1,26.45,0.74,6.152,1.9142,24,666
13.6781,0,18.1,34.02,0.74,5.935,1.8206,24,666
9.39063,0,18.1,22.88,0.74,5.627,1.8172,24,666
22.0511,0,18.1,22.11,0.74,5.818,1.8662,24,666
9.72418,0,18.1,19.52,0.74,6.406,2.0651,24,666
5.66637,0,18.1,16.59,0.74,6.219,2.0048,24,666
9.96654,0,18.1,18.85,0.74,6.485,1.9784,24,666
12.8023,0,18.1,23.79,0.74,5.854,1.8956,24,666
10.6718,0,18.1,23.98,0.74,6.459,1.9879,24,666
6.28807,0,18.1,17.79,0.74,6.341,2.072,24,666
9.92485,0,18.1,16.44,0.74,6.251,2.198,24,666
9.32909,0,18.1,18.13,0.713,6.185,2.2616,24,666
7.52601,0,18.1,19.31,0.713,6.417,2.185,24,666
6.71772,0,18.1,17.44,0.713,6.749,2.3236,24,666
5.44114,0,18.1,17.73,0.713,6.655,2.3552,24,666
5.09017,0,18.1,17.27,0.713,6.297,2.3682,24,666
8.24809,0,18.1,16.74,0.713,7.393,2.4527,24,666
9.51363,0,18.1,18.71,0.713,6.728,2.4961,24,666
4.75237,0,18.1,18.13,0.713,6.525,2.4358,24,666
4.66883,0,18.1,19.01,0.713,5.976,2.5806,24,666
8.20058,0,18.1,16.94,0.713,5.936,2.7792,24,666
7.75223,0,18.1,16.23,0.713,6.301,2.7831,24,666
6.80117,0,18.1,14.7,0.713,6.081,2.7175,24,666
4.81213,0,18.1,16.42,0.713,6.701,2.5975,24,666
3.69311,0,18.1,14.65,0.713,6.376,2.5671,24,666
6.65492,0,18.1,13.99,0.713,6.317,2.7344,24,666
5.82115,0,18.1,10.29,0.713,6.513,2.8016,24,666
7.83932,0,18.1,13.22,0.655,6.209,2.9634,24,666
3.1636,0,18.1,14.13,0.655,5.759,3.0665,24,666
3.77498,0,18.1,17.15,0.655,5.952,2.8715,24,666
4.42228,0,18.1,21.32,0.584,6.003,2.5403,24,666
15.5757,0,18.1,18.13,0.58,5.926,2.9084,24,666
13.0751,0,18.1,14.76,0.58,5.713,2.8237,24,666
4.34879,0,18.1,16.29,0.58,6.167,3.0334,24,666
4.03841,0,18.1,12.87,0.532,6.229,3.0993,24,666
3.56868,0,18.1,14.36,0.58,6.437,2.8965,24,666
4.64689,0,18.1,11.66,0.614,6.98,2.5329,24,666
8.05579,0,18.1,18.14,0.584,5.427,2.4298,24,666
6.39312,0,18.1,24.1,0.584,6.162,2.206,24,666
4.87141,0,18.1,18.68,0.614,6.484,2.3053,24,666
15.0234,0,18.1,24.91,0.614,5.304,2.1007,24,666
10.233,0,18.1,18.03,0.614,6.185,2.1705,24,666
14.3337,0,18.1,13.11,0.614,6.229,1.9512,24,666
5.82401,0,18.1,10.74,0.532,6.242,3.4242,24,666
5.70818,0,18.1,7.74,0.532,6.75,3.3317,24,666
5.73116,0,18.1,7.01,0.532,7.061,3.4106,24,666
2.81838,0,18.1,10.42,0.532,5.762,4.0983,24,666
2.37857,0,18.1,13.34,0.583,5.871,3.724,24,666
3.67367,0,18.1,10.58,0.583,6.312,3.9917,24,666
5.69175,0,18.1,14.98,0.583,6.114,3.5459,24,666
4.83567,0,18.1,11.45,0.583,5.905,3.1523,24,666
0.15086,0,27.74,18.06,0.609,5.454,1.8209,4,711
0.18337,0,27.74,23.97,0.609,5.414,1.7554,4,711
0.20746,0,27.74,29.68,0.609,5.093,1.8226,4,711
0.10574,0,27.74,18.07,0.609,5.983,1.8681,4,711
0.11132,0,27.74,13.35,0.609,5.983,2.1099,4,711
0.17331,0,9.69,12.01,0.585,5.707,2.3817,6,391
0.27957,0,9.69,13.59,0.585,5.926,2.3817,6,391
0.17899,0,9.69,17.6,0.585,5.67,2.7986,6,391
0.2896,0,9.69,21.14,0.585,5.39,2.7986,6,391
0.26838,0,9.69,14.1,0.585,5.794,2.8927,6,391
0.23912,0,9.69,12.92,0.585,6.019,2.4091,6,391
0.17783,0,9.69,15.1,0.585,5.569,2.3999,6,391
0.22438,0,9.69,14.33,0.585,6.027,2.4982,6,391
0.06263,0,11.93,9.67,0.573,6.593,2.4786,1,273
0.04527,0,11.93,9.08,0.573,6.12,2.2875,1,273
0.06076,0,11.93,5.64,0.573,6.976,2.1675,1,273
0.10959,0,11.93,6.48,0.573,6.794,2.3889,1,273
0.04741,0,11.93,7.88,0.573,6.03,2.505,1,273
